timestamp,cpu_pct,memory_pct,active_connections,lock_wait_count,disk_io_mbps,cache_hit_ratio
2026-01-05 00:44:30,11.93,42.16,10,1.16,20.01,0.9607
2026-01-05 00:45:00,11.58,39.24,14,0.5,52.17,0.9669
2026-01-05 00:45:30,17.25,38.88,16,0.92,61.75,0.9741
2026-01-05 00:46:00,17.55,44.97,12,0.44,44.72,0.9582
2026-01-05 00:46:30,12.92,39.13,12,0.76,56.79,0.9608
2026-01-05 00:47:00,19.37,42.39,12,0.26,64.3,0.9704
2026-01-05 00:47:30,12.33,40.78,14,0.14,58.93,0.9539
2026-01-05 00:48:00,20.69,43.42,11,0.77,19.98,0.9569
2026-01-05 00:48:30,15.8,38.78,16,1.59,38.48,0.9601
2026-01-05 00:49:00,17.41,44.15,7,0.72,83.51,0.9519
2026-01-05 00:49:30,12.86,40.08,10,1.0,59.81,0.9507
2026-01-05 00:50:00,18.26,39.78,19,0.28,46.69,0.9739
2026-01-05 00:50:30,19.0,41.83,4,0.86,40.73,0.9708
2026-01-05 00:51:00,12.46,41.84,9,0.0,67.0,0.9708
2026-01-05 00:51:30,14.89,43.85,11,0.61,60.33,0.9622
2026-01-05 00:52:00,18.16,39.89,11,1.28,40.74,0.9443
2026-01-05 00:52:30,21.58,46.05,11,0.0,51.69,0.9655
2026-01-05 00:53:00,16.19,38.73,16,0.86,33.99,0.9754
2026-01-05 00:53:30,22.92,41.3,11,0.53,65.64,0.9511
2026-01-05 00:54:00,17.27,40.19,22,0.51,81.48,0.9573
2026-01-05 00:54:30,18.54,41.61,9,0.69,74.65,0.9651
2026-01-05 00:55:00,11.72,40.94,8,0.43,55.3,0.9513
2026-01-05 00:55:30,11.95,41.94,10,0.0,68.29,0.9711
2026-01-05 00:56:00,14.67,38.35,17,0.77,92.32,0.9726
2026-01-05 00:56:30,17.97,40.65,17,0.91,75.35,0.9631
2026-01-05 00:57:00,15.52,40.04,17,1.35,49.75,0.9641
2026-01-05 00:57:30,17.77,40.5,18,0.0,44.23,0.9605
2026-01-05 00:58:00,9.88,39.08,8,0.5,73.39,0.9659
2026-01-05 00:58:30,13.75,40.89,18,0.11,43.03,0.9739
2026-01-05 00:59:00,16.19,42.31,13,0.95,41.22,0.9682
2026-01-05 00:59:30,16.22,38.58,5,0.94,51.49,0.9581
2026-01-05 01:00:00,16.58,43.28,2,0.0,42.97,0.9829
2026-01-05 01:00:30,17.72,42.56,7,0.04,63.53,0.9689
2026-01-05 01:01:00,18.54,40.65,14,0.68,68.54,0.9764
2026-01-05 01:01:30,12.03,36.54,18,1.2,41.56,0.9497
2026-01-05 01:02:00,17.2,42.9,22,0.86,51.35,0.9593
2026-01-05 01:02:30,16.94,40.44,8,1.63,83.71,0.9796
2026-01-05 01:03:00,14.16,42.76,16,0.83,75.73,0.9746
2026-01-05 01:03:30,19.14,42.32,15,0.0,58.24,0.9627
2026-01-05 01:04:00,13.1,44.42,22,1.29,60.88,0.9817
2026-01-05 01:04:30,16.97,41.46,8,0.8,57.95,0.9552
2026-01-05 01:05:00,16.8,40.91,22,1.05,57.28,0.9707
2026-01-05 01:05:30,17.09,40.66,8,0.53,45.92,0.9557
2026-01-05 01:06:00,18.51,41.86,4,0.55,72.11,0.9788
2026-01-05 01:06:30,20.05,41.15,9,0.07,62.34,0.972
2026-01-05 01:07:00,20.85,43.28,13,0.0,52.45,0.9704
2026-01-05 01:07:30,16.38,39.93,15,0.36,47.81,0.9713
2026-01-05 01:08:00,15.8,41.58,15,0.04,50.08,0.9826
2026-01-05 01:08:30,13.52,36.86,4,0.62,57.76,0.967
2026-01-05 01:09:00,20.67,35.76,15,1.39,40.44,0.9644
2026-01-05 01:09:30,14.76,39.32,12,1.32,84.92,0.9648
2026-01-05 01:10:00,22.76,41.18,22,0.56,59.39,0.9718
2026-01-05 01:10:30,26.58,42.82,10,1.1,51.99,0.9632
2026-01-05 01:11:00,19.78,41.19,15,0.62,62.53,0.9724
2026-01-05 01:11:30,11.25,42.46,8,0.0,56.61,0.969
2026-01-05 01:12:00,15.0,42.79,7,0.41,48.78,0.9676
2026-01-05 01:12:30,17.91,39.12,17,0.64,29.17,0.9485
2026-01-05 01:13:00,17.06,40.7,13,0.6,61.0,0.9776
2026-01-05 01:13:30,13.76,38.8,8,0.76,76.29,0.9638
2026-01-05 01:14:00,9.61,37.74,9,0.34,51.55,0.9685
2026-01-05 01:14:30,16.18,43.25,10,0.18,64.86,0.9527
2026-01-05 01:15:00,18.3,41.37,13,1.41,48.41,0.9887
2026-01-05 01:15:30,16.45,38.61,14,0.08,46.47,0.972
2026-01-05 01:16:00,18.81,39.93,18,1.2,79.36,0.9733
2026-01-05 01:16:30,21.24,37.41,12,0.18,59.6,0.9623
2026-01-05 01:17:00,16.67,44.95,13,0.83,54.39,0.9688
2026-01-05 01:17:30,17.18,42.08,19,1.44,62.52,0.9739
2026-01-05 01:18:00,13.73,41.02,18,1.05,61.12,0.9769
2026-01-05 01:18:30,18.66,43.59,15,0.44,62.98,0.9387
2026-01-05 01:19:00,18.35,33.91,5,0.85,65.18,0.9564
2026-01-05 01:19:30,15.07,43.94,11,1.74,57.98,0.9721
2026-01-05 01:20:00,22.07,41.47,9,0.57,57.55,0.9543
2026-01-05 01:20:30,16.45,39.73,18,0.64,53.84,0.9669
2026-01-05 01:21:00,17.91,42.46,9,0.1,74.72,0.9638
2026-01-05 01:21:30,12.99,42.11,16,0.0,61.59,0.9753
2026-01-05 01:22:00,18.38,42.5,7,0.79,53.68,0.9631
2026-01-05 01:22:30,19.87,44.19,23,1.28,56.57,0.9715
2026-01-05 01:23:00,19.58,41.49,14,1.04,57.4,0.9606
2026-01-05 01:23:30,16.04,42.51,14,0.79,68.34,0.9642
2026-01-05 01:24:00,19.57,42.01,8,1.35,50.85,0.9514
2026-01-05 01:24:30,14.16,39.21,14,0.49,53.3,0.9741
2026-01-05 01:25:00,18.34,41.9,16,0.93,26.81,0.9642
2026-01-05 01:25:30,10.78,41.34,14,1.15,76.24,0.9699
2026-01-05 01:26:00,15.84,42.25,11,0.63,73.29,0.9623
2026-01-05 01:26:30,19.75,42.63,9,1.11,68.98,0.9689
2026-01-05 01:27:00,15.07,39.57,11,0.9,44.24,0.9722
2026-01-05 01:27:30,13.63,40.88,14,1.85,37.91,0.9826
2026-01-05 01:28:00,17.83,42.12,14,0.85,56.34,0.9824
2026-01-05 01:28:30,16.01,43.56,11,0.6,42.56,0.9724
2026-01-05 01:29:00,21.73,41.15,13,0.07,55.28,0.9519
2026-01-05 01:29:30,14.66,41.76,21,2.04,49.92,0.9822
2026-01-05 01:30:00,18.15,41.02,16,0.66,60.44,0.9637
2026-01-05 01:30:30,13.22,38.23,17,0.49,49.85,0.9679
2026-01-05 01:31:00,19.82,41.69,11,1.25,82.55,0.9727
2026-01-05 01:31:30,20.36,43.81,20,0.94,67.84,0.973
2026-01-05 01:32:00,14.17,42.74,7,0.24,78.49,0.9762
2026-01-05 01:32:30,21.92,40.8,8,0.51,60.47,0.9686
2026-01-05 01:33:00,20.88,40.63,16,0.14,65.76,0.9678
2026-01-05 01:33:30,15.23,40.88,13,0.5,85.58,0.9668
2026-01-05 01:34:00,16.77,37.17,10,0.5,48.8,0.9815
2026-01-05 01:34:30,17.0,43.94,14,0.65,57.75,0.9678
2026-01-05 01:35:00,22.68,36.73,4,0.37,59.38,0.9746
2026-01-05 01:35:30,18.94,40.61,19,1.15,61.92,0.9773
2026-01-05 01:36:00,18.36,40.26,18,0.69,59.26,0.9824
2026-01-05 01:36:30,10.19,38.55,8,0.46,55.42,0.9526
2026-01-05 01:37:00,14.61,39.68,26,1.54,53.14,0.964
2026-01-05 01:37:30,14.11,37.58,14,0.14,58.04,0.9517
2026-01-05 01:38:00,15.3,41.71,16,0.85,39.58,0.9762
2026-01-05 01:38:30,15.18,42.67,14,0.0,54.65,0.9713
2026-01-05 01:39:00,19.44,41.14,22,1.15,55.62,0.9751
2026-01-05 01:39:30,23.4,45.34,8,0.18,81.74,0.9571
2026-01-05 01:40:00,13.66,40.46,16,0.59,49.79,0.9609
2026-01-05 01:40:30,15.49,39.67,26,0.79,72.85,0.9627
2026-01-05 01:41:00,17.09,40.02,1,0.0,32.47,0.9451
2026-01-05 01:41:30,14.06,44.09,14,1.29,65.79,0.9754
2026-01-05 01:42:00,14.97,42.5,18,0.36,68.1,0.9732
2026-01-05 01:42:30,16.02,39.21,8,0.69,64.61,0.9596
2026-01-05 01:43:00,17.77,42.61,17,1.42,78.94,0.9575
2026-01-05 01:43:30,22.74,40.41,20,0.68,53.6,0.9495
2026-01-05 01:44:00,17.2,38.36,19,1.41,47.91,0.9706
2026-01-05 01:44:30,15.54,40.22,18,0.63,85.96,0.9627
2026-01-05 01:45:00,20.73,41.69,18,0.43,59.2,0.9664
2026-01-05 01:45:30,15.23,42.82,18,0.95,83.0,0.982
2026-01-05 01:46:00,16.63,42.25,11,0.66,51.03,0.9837
2026-01-05 01:46:30,18.85,41.07,20,0.0,29.81,0.9755
2026-01-05 01:47:00,17.96,42.02,8,0.64,90.16,0.9757
2026-01-05 01:47:30,18.29,40.64,13,0.0,63.97,0.9759
2026-01-05 01:48:00,13.08,40.21,9,0.17,60.99,0.9466
2026-01-05 01:48:30,19.65,43.04,13,0.0,45.24,0.9798
2026-01-05 01:49:00,9.49,40.85,9,1.06,50.15,0.9715
2026-01-05 01:49:30,19.52,45.21,14,0.84,38.0,0.9793
2026-01-05 01:50:00,15.57,40.43,15,0.0,63.79,0.9771
2026-01-05 01:50:30,18.73,38.38,14,1.03,32.19,0.9567
2026-01-05 01:51:00,20.5,42.11,17,1.59,67.47,0.974
2026-01-05 01:51:30,26.0,41.14,11,0.87,67.03,0.9621
2026-01-05 01:52:00,14.8,46.2,16,0.29,74.27,0.9663
2026-01-05 01:52:30,17.14,42.7,8,0.83,89.22,0.972
2026-01-05 01:53:00,16.79,40.58,13,0.53,54.95,0.9765
2026-01-05 01:53:30,12.72,43.32,13,0.85,43.71,0.9806
2026-01-05 01:54:00,21.68,43.52,7,1.08,66.77,0.9513
2026-01-05 01:54:30,17.87,42.33,18,0.75,65.07,0.9821
2026-01-05 01:55:00,21.64,35.88,13,0.58,34.5,0.9682
2026-01-05 01:55:30,21.71,39.44,17,0.2,50.71,0.9821
2026-01-05 01:56:00,16.36,42.56,6,1.59,69.91,0.9655
2026-01-05 01:56:30,19.72,38.81,21,0.5,57.81,0.9624
2026-01-05 01:57:00,16.27,43.03,16,0.99,60.83,0.9724
2026-01-05 01:57:30,16.76,46.1,7,1.29,81.48,0.9587
2026-01-05 01:58:00,24.73,43.65,20,0.68,57.79,0.9651
2026-01-05 01:58:30,19.21,44.46,16,0.21,73.41,0.9764
2026-01-05 01:59:00,20.03,43.16,14,0.2,48.11,0.9509
2026-01-05 01:59:30,18.77,41.5,13,0.0,42.43,0.9784
2026-01-05 02:00:00,16.09,42.41,8,1.39,59.07,0.9701
2026-01-05 02:00:30,25.06,44.72,14,0.37,56.34,0.9723
2026-01-05 02:01:00,17.8,40.91,22,0.61,95.81,0.9681
2026-01-05 02:01:30,23.47,42.41,20,0.31,48.51,0.9718
2026-01-05 02:02:00,21.1,41.79,9,0.0,40.0,0.9495
2026-01-05 02:02:30,18.47,43.96,15,0.0,58.55,0.9655
2026-01-05 02:03:00,24.45,38.81,13,1.53,68.25,0.9728
2026-01-05 02:03:30,18.51,42.38,19,0.27,74.67,0.9534
2026-01-05 02:04:00,19.17,42.1,12,0.66,52.25,0.9564
2026-01-05 02:04:30,17.13,39.53,17,0.1,72.27,0.9553
2026-01-05 02:05:00,16.51,40.5,22,0.84,58.51,0.9721
2026-01-05 02:05:30,11.89,41.67,25,0.74,62.7,0.9726
2026-01-05 02:06:00,20.93,37.77,7,0.78,51.05,0.9802
2026-01-05 02:06:30,17.29,37.9,9,0.0,58.26,0.9652
2026-01-05 02:07:00,16.99,43.94,21,0.59,29.85,0.9732
2026-01-05 02:07:30,19.93,42.4,20,0.1,92.0,0.9574
2026-01-05 02:08:00,20.54,38.42,11,1.44,58.05,0.9754
2026-01-05 02:08:30,19.0,41.58,22,0.56,35.25,0.959
2026-01-05 02:09:00,19.97,42.6,8,0.32,53.33,0.9633
2026-01-05 02:09:30,14.19,40.55,12,1.07,74.2,0.9655
2026-01-05 02:10:00,17.17,42.1,11,0.11,48.05,0.9606
2026-01-05 02:10:30,14.85,42.15,19,0.0,62.53,0.9648
2026-01-05 02:11:00,19.39,41.81,8,0.05,62.69,0.9772
2026-01-05 02:11:30,11.73,42.53,21,0.61,70.5,0.9599
2026-01-05 02:12:00,18.04,38.61,4,1.16,47.57,0.9624
2026-01-05 02:12:30,14.24,39.03,15,0.32,68.02,0.9714
2026-01-05 02:13:00,19.39,42.34,23,0.15,61.62,0.9782
2026-01-05 02:13:30,22.22,39.02,14,1.37,70.07,0.9688
2026-01-05 02:14:00,17.8,41.11,17,0.56,61.91,0.9677
2026-01-05 02:14:30,16.42,42.95,30,0.0,67.4,0.9593
2026-01-05 02:15:00,20.21,41.99,19,1.28,65.53,0.9782
2026-01-05 02:15:30,11.44,45.08,18,1.23,44.34,0.9585
2026-01-05 02:16:00,18.94,41.88,17,1.23,36.26,0.9766
2026-01-05 02:16:30,18.53,41.5,8,0.94,26.53,0.9733
2026-01-05 02:17:00,14.06,42.03,15,1.28,60.16,0.9598
2026-01-05 02:17:30,17.01,44.47,18,0.5,59.3,0.9511
2026-01-05 02:18:00,19.72,38.42,20,0.76,98.75,0.9558
2026-01-05 02:18:30,18.25,45.54,22,0.35,66.3,0.9668
2026-01-05 02:19:00,19.43,40.56,15,0.0,65.07,0.9712
2026-01-05 02:19:30,17.9,38.73,21,0.88,52.15,0.9639
2026-01-05 02:20:00,14.11,39.92,13,1.31,53.55,0.9731
2026-01-05 02:20:30,17.0,42.47,15,1.13,55.12,0.951
2026-01-05 02:21:00,14.5,40.92,10,0.9,56.26,0.9904
2026-01-05 02:21:30,13.43,42.39,10,0.45,65.37,0.9434
2026-01-05 02:22:00,19.38,45.81,14,0.83,78.73,0.965
2026-01-05 02:22:30,16.93,37.45,19,0.64,48.16,0.9679
2026-01-05 02:23:00,16.95,40.96,19,0.03,79.17,0.9527
2026-01-05 02:23:30,16.71,45.86,22,0.75,49.35,0.9613
2026-01-05 02:24:00,18.95,42.11,16,0.69,60.34,0.9522
2026-01-05 02:24:30,17.18,43.86,9,0.61,51.26,0.9677
2026-01-05 02:25:00,17.59,45.0,19,0.05,73.73,0.9588
2026-01-05 02:25:30,17.03,42.68,14,1.15,52.05,0.9604
2026-01-05 02:26:00,16.82,40.93,22,1.02,89.42,0.9892
2026-01-05 02:26:30,15.69,42.21,10,0.32,54.32,0.956
2026-01-05 02:27:00,15.66,41.79,10,1.13,50.11,0.9946
2026-01-05 02:27:30,17.46,42.23,10,1.56,80.67,0.9695
2026-01-05 02:28:00,14.81,42.52,11,1.44,76.12,0.9675
2026-01-05 02:28:30,11.54,40.13,20,1.32,80.62,0.9506
2026-01-05 02:29:00,19.78,44.14,8,0.71,68.2,0.9635
2026-01-05 02:29:30,13.32,41.46,15,0.64,55.64,0.962
2026-01-05 02:30:00,18.79,43.02,15,0.51,65.59,0.9472
2026-01-05 02:30:30,20.34,42.13,17,1.19,34.91,0.9467
2026-01-05 02:31:00,19.76,42.13,17,0.48,74.28,0.9757
2026-01-05 02:31:30,20.39,41.62,6,1.1,82.64,0.9729
2026-01-05 02:32:00,16.33,43.51,21,1.5,51.28,0.9641
2026-01-05 02:32:30,21.21,42.28,11,0.92,73.1,0.9673
2026-01-05 02:33:00,19.65,41.66,24,0.27,55.72,0.9665
2026-01-05 02:33:30,21.63,39.18,10,0.0,65.02,0.9552
2026-01-05 02:34:00,17.87,43.52,13,0.84,60.15,0.9731
2026-01-05 02:34:30,20.45,40.81,16,1.24,70.54,0.9524
2026-01-05 02:35:00,21.02,40.04,24,1.23,69.1,0.9679
2026-01-05 02:35:30,18.43,43.57,15,0.84,77.83,0.9607
2026-01-05 02:36:00,17.24,39.84,11,0.0,75.81,0.9844
2026-01-05 02:36:30,23.36,38.98,20,1.43,58.01,0.9673
2026-01-05 02:37:00,13.1,42.78,11,0.82,41.56,0.9717
2026-01-05 02:37:30,22.19,40.68,11,0.0,60.98,0.9604
2026-01-05 02:38:00,14.5,43.17,15,0.19,56.78,0.9769
2026-01-05 02:38:30,20.96,42.0,20,0.15,65.58,0.9677
2026-01-05 02:39:00,17.77,43.15,13,0.98,73.49,0.937
2026-01-05 02:39:30,22.75,36.19,14,1.24,60.45,0.9515
2026-01-05 02:40:00,15.93,44.35,7,1.29,64.5,0.9542
2026-01-05 02:40:30,17.46,40.26,21,1.1,39.54,0.9621
2026-01-05 02:41:00,16.66,44.9,10,1.53,64.94,0.9545
2026-01-05 02:41:30,17.21,40.71,11,0.78,47.02,0.9443
2026-01-05 02:42:00,18.14,38.73,13,0.28,52.49,0.9861
2026-01-05 02:42:30,19.45,42.82,8,0.41,68.79,0.9559
2026-01-05 02:43:00,22.03,39.95,16,0.44,68.14,0.9597
2026-01-05 02:43:30,18.5,41.88,13,0.98,69.25,0.9652
2026-01-05 02:44:00,18.05,43.96,16,0.58,67.36,0.983
2026-01-05 02:44:30,15.32,43.91,8,0.85,89.42,0.9709
2026-01-05 02:45:00,19.89,41.27,17,0.61,54.12,0.9631
2026-01-05 02:45:30,19.97,40.85,13,0.06,71.77,0.9715
2026-01-05 02:46:00,20.1,44.34,18,0.94,70.59,0.9651
2026-01-05 02:46:30,17.82,46.83,15,0.41,72.54,0.9685
2026-01-05 02:47:00,15.23,44.67,17,0.19,83.98,0.9722
2026-01-05 02:47:30,15.65,45.98,21,0.74,90.01,0.9676
2026-01-05 02:48:00,19.39,41.12,20,0.98,66.49,0.958
2026-01-05 02:48:30,19.86,42.3,11,0.01,74.75,0.9399
2026-01-05 02:49:00,20.12,41.5,24,0.5,76.29,0.9619
2026-01-05 02:49:30,19.85,43.93,15,1.24,51.49,0.9688
2026-01-05 02:50:00,22.31,43.8,27,0.37,45.83,0.9559
2026-01-05 02:50:30,21.52,43.47,18,0.19,78.02,0.9536
2026-01-05 02:51:00,23.05,48.21,19,1.04,59.25,0.9477
2026-01-05 02:51:30,17.77,40.31,10,1.61,70.73,0.9696
2026-01-05 02:52:00,18.68,42.17,22,0.74,74.73,0.9638
2026-01-05 02:52:30,18.58,39.7,8,0.62,67.61,0.9529
2026-01-05 02:53:00,19.54,42.64,7,0.3,73.0,0.9696
2026-01-05 02:53:30,16.18,42.85,23,1.14,65.46,0.9611
2026-01-05 02:54:00,17.79,43.49,19,1.07,68.99,0.9739
2026-01-05 02:54:30,19.96,44.12,22,0.35,39.89,0.9812
2026-01-05 02:55:00,20.48,39.14,14,1.14,62.95,0.9606
2026-01-05 02:55:30,23.92,40.48,14,0.86,73.0,0.9707
2026-01-05 02:56:00,22.48,42.99,20,0.63,68.21,0.9668
2026-01-05 02:56:30,20.39,44.14,21,0.78,55.13,0.9664
2026-01-05 02:57:00,19.7,43.0,29,0.5,73.73,0.9763
2026-01-05 02:57:30,20.08,47.29,16,0.92,55.41,0.9621
2026-01-05 02:58:00,20.57,44.32,19,1.39,66.1,0.9623
2026-01-05 02:58:30,27.93,43.42,14,0.42,53.38,0.975
2026-01-05 02:59:00,18.76,42.9,18,1.13,54.95,0.9548
2026-01-05 02:59:30,20.53,43.85,20,0.36,77.82,0.9581
2026-01-05 03:00:00,18.33,40.78,25,1.08,76.86,0.978
2026-01-05 03:00:30,28.33,39.25,14,0.46,55.02,0.9548
2026-01-05 03:01:00,19.03,40.25,20,0.79,75.13,0.9706
2026-01-05 03:01:30,21.74,41.94,29,0.89,39.98,0.9555
2026-01-05 03:02:00,14.74,42.74,18,0.54,98.21,0.971
2026-01-05 03:02:30,22.14,40.84,13,0.79,70.64,0.9469
2026-01-05 03:03:00,19.46,42.75,17,0.37,60.09,0.9637
2026-01-05 03:03:30,20.27,43.94,24,0.63,61.34,0.9698
2026-01-05 03:04:00,21.87,41.88,22,1.26,87.69,0.9832
2026-01-05 03:04:30,17.44,42.77,18,0.73,58.57,0.9506
2026-01-05 03:05:00,20.35,41.23,19,0.38,51.95,0.9677
2026-01-05 03:05:30,20.53,43.93,29,0.92,75.72,0.9546
2026-01-05 03:06:00,16.25,45.95,14,0.26,67.99,0.9645
2026-01-05 03:06:30,17.4,42.18,25,0.38,47.68,0.9748
2026-01-05 03:07:00,21.62,41.57,11,0.41,67.9,0.977
2026-01-05 03:07:30,17.04,42.64,22,0.0,84.22,0.9535
2026-01-05 03:08:00,21.18,43.32,24,1.06,33.19,0.9574
2026-01-05 03:08:30,20.6,42.44,21,1.18,77.98,0.9631
2026-01-05 03:09:00,14.68,41.94,21,0.24,78.46,0.9743
2026-01-05 03:09:30,20.6,36.72,12,1.73,60.79,0.9454
2026-01-05 03:10:00,23.97,42.9,24,0.93,76.01,0.9688
2026-01-05 03:10:30,22.35,47.42,23,0.0,75.83,0.9766
2026-01-05 03:11:00,23.91,42.04,24,1.25,107.85,0.9577
2026-01-05 03:11:30,18.78,42.28,16,0.34,27.83,0.9608
2026-01-05 03:12:00,21.44,41.92,28,0.8,88.77,0.9678
2026-01-05 03:12:30,22.82,43.47,26,0.82,76.85,0.9688
